Source_id,Gaus_id_S,RA_S,E_RA_S,DEC_S,E_DEC_S,Peak_flux_S,E_Peak_flux_S,Total_flux_S,E_Total_flux_S,DC_Maj_S,E_DC_Maj_S,DC_Min_S,E_DC_Min_S,DC_PA_S,E_DC_PA_S,Gaus_id_C,RA_C,E_RA_C,DEC_C,E_DEC_C,Peak_flux_C,E_Peak_flux_C,Total_flux_C,E_Total_flux_C,DC_Maj_C,E_DC_Maj_C,DC_Min_C,E_DC_Min_C,DC_PA_C,E_DC_PA_C,Gaus_id_X,RA_X,E_RA_X,DEC_X,E_DEC_X,Peak_flux_X,E_Peak_flux_X,Total_flux_X,E_Total_flux_X,DC_Maj_X,E_DC_Maj_X,DC_Min_X,E_DC_Min_X,DC_PA_X,E_DC_PA_X,Number of bands,S-band,C-band,X-band,Spectral_index,E_Spectral_index,Upper_limit_spectral_index,Lower_limit_spectral_index,Compactness_S,E_Compactness_S,Compactness_C,E_Compactness_C,Compactness_X,E_Compactness_X,Source_id
48,51,24.07065645,0.0000481157976,15.70483359,0.00004675685114,0.0001668183243,0.00004309442703,0.0002498786763,0.00005671227603,0.0004954543359,0.000142386802,0,0.00006845915861,45.97641408,22.9162428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.497909042,0.5150839865,,,,,48
49,52,24.07097864,0.00003547930904,15.70449168,0.00003457011825,0.0001626432892,0.00004197104183,0.0001620575999,0.00005947790337,0.0001950943431,0.00009854845707,0,0.00006241279175,133.5554158,35.58416787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,0.9963989333,0.4470426945,,,,,49
50,53,24.07142483,0.00006741845713,15.70503275,0.0001058187631,0.0001417481652,0.00004119039169,0.0006053052624,0.00004717929385,0.001111753289,0.0002692410856,0.000523052294,0.0001216802761,155.2487203,21.39272026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,4.270286402,1.284758826,,,,,50
51,54,24.07171143,0.00006384081675,15.70549653,0.0001030813354,0.00009941726633,0.00004178491327,0.0001420978906,0.0000560352712,0.000550145671,0.0002714372158,0,0.00008856438268,152.7230311,26.50064327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.429307965,0.8237538421,,,,,51
52,55,24.0694664,0.00001579598492,15.70814258,0.00001718830825,0.0005095449372,0.00004473667781,0.001013159047,0.0000578564259,0.0004625697684,0.00004149765289,0.000403223829,0.0000360526618,160.7310308,31.99072917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.988360541,0.2082502488,,,,,52
53,57,24.06048349,0.00001666969879,15.84269432,0.00001933014709,0.0003647668888,0.00004263120002,0.0004884743751,0.00005705593617,0.0003138294211,0.00004630950191,0.0001792881743,0.00003831840599,24.9662872,35.09727228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.339141216,0.22127228,,,,,53
54,58,24.05967381,0.0000091098472,15.68829363,0.00000958165815,0.0009523043565,0.00005901468044,0.001328324263,0.00007875543334,0.0002891244551,0.00002306260692,0.0002573824182,0.00002091408581,170.9047159,33.46498441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.394852658,0.1196288692,,,,,54
55,59,24.05962103,0.00004668086268,15.79274548,0.00005075096717,0.0001320267355,0.00003610112522,0.0002231798004,0.00004632734296,0.0004114113736,0.0001275418598,0.000312674965,0.0001004942513,148.8070664,64.3945627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.1909425925,0.1724017938,1,0,1.690413684,0.5803246942,,,,,55
56,60,24.04460013,0.00002518861628,15.6947364,0.00001899654904,0.0004836911649,0.00006375530567,0.0007459499871,0.00008345426179,0.0003898246725,0.00005954929876,0.000246595323,0.0000444205431,92.07370057,25.81679325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.542203045,0.2666281709,,,,,56
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,24.21212001,0.0000365525337,15.78842529,0.00003731639244,0.00004046951159,0.000007741018945,0.0000518424233,0.00001175226011,0.0003221785771,0.00009776220094,0.0001102662766,0.000074653421,127.1469521,51.51003794,1,0,0,1,-0.3858513973,0.188276178,0,1,,,,,1.28102419,0.3799643452,57
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,24.18061555,0.00002783163623,15.75083646,0.00002098556137,0.00004926679443,0.000007607209964,0.00004467786601,0.00001220341762,0,0.00006909827745,0,0.00004430334588,0,26.74386088,1,0,0,1,-0.5068762928,0.226854984,0,1,,,,,0.9068555509,0.2845398861,58
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,24.16056889,0.00008831332699,15.81283523,0.0000827028888,0.00003532472778,0.000006282449135,0.0003201109907,0.00002208789822,0.001325246153,0.0002097904644,0.001211536626,0.0001927793515,108.7444419,91.48778596,1,0,0,1,3.073606049,0.1519211969,0,1,,,,,9.061952089,1.728700914,59
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,24.15268965,0.00008295797591,15.77563156,0.00007389887621,0.00003417153258,0.000006165687197,0.0002297435346,0.00001648720583,0.001269922902,0.0002153754833,0.0008869000809,0.0001485190934,124.7235577,27.05417546,1,0,0,1,2.607568071,0.1580040896,0,1,,,,,6.723243508,1.305525615,60
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,24.1166658,0.0000236264415,15.77572337,0.00004525511545,0.00005279800696,0.000009541010938,0.00006302045207,0.00001476930885,0,0.0001065736935,0,0.00005562445082,0,22.19518292,1,0,0,1,-0.2882975068,0.194642615,0,1,,,,,1.193614223,0.3532345792,61
